0:  (-1, -1)  1355.87/1917=0.707289
1:  (-1, 0)  1037.98/1478=0.702286
2:  (-1, 2)  7353.19/10099=0.72811
3:  (-1, 4)  2784.96/3878=0.718144
4:  (-1, 5)  1477.1/2084=0.708781
5:  (-1, 6)  2629.28/3661=0.718186
6:  (-1, 7)  2407.92/3362=0.716216
7:  (0, -1)  403.665/595=0.678428
8:  (0, 0)  335.729/500=0.671458
9:  (0, 2)  571.839/831=0.688133
10:  (0, 4)  359.75/533=0.674954
11:  (0, 5)  221.462/337=0.657159
12:  (0, 6)  360.878/535=0.674539
13:  (0, 7)  235.45/357=0.659524
 (-1, 2) : 7353.19/10099 : 0.72811
 (-1, 4) : 2784.96/3878 : 0.718144
 (-1, 6) : 2629.28/3661 : 0.718186
 (-1, 7) : 2407.92/3362 : 0.716216
 (-1, 5) : 1477.1/2084 : 0.708781
